state_code,state_name,urban_household_pct,urban_category,population_density,density_category,population_total,population_male,population_female,sex_ratio,urban_data_available
01,JAMMU  KASHMIR,,Insufficient Data,124.0,Low Density,12541302.0,6640662.0,5900640.0,889,False
02,HIMACHAL PRADESH,11.512998220160725,Predominantly Rural,123.0,Low Density,6864602.0,3481873.0,3382729.0,972,True
03,PUNJAB,39.08815975705737,Semi-Rural,551.0,High Density,27743338.0,14639465.0,13103873.0,895,True
04,CHANDIGARH,97.0394695923673,Highly Urbanized,9258.0,Very High Density,1055450.0,580663.0,474787.0,818,True
05,UTTARAKHAND,30.719333001130302,Semi-Rural,189.0,Low Density,10086292.0,5137773.0,4948519.0,963,True
06,HARYANA,37.339352312000926,Semi-Rural,573.0,High Density,25351462.0,13494734.0,11856728.0,879,True
07,NCT OF DELHI,97.68410875556134,Highly Urbanized,11320.0,Very High Density,16787941.0,8987326.0,7800615.0,868,True
08,RAJASTHAN,25.302541564702345,Semi-Rural,200.0,Medium Density,68548437.0,35550997.0,32997440.0,928,True
09,UTTAR PRADESH,23.2064245328612,Semi-Rural,829.0,High Density,199812341.0,104480510.0,95331831.0,912,True
10,BIHAR,10.842086090062873,Predominantly Rural,1106.0,Very High Density,104099452.0,54278157.0,49821295.0,918,True
11,SIKKIM,27.687084321659455,Semi-Rural,86.0,Low Density,610577.0,323070.0,287507.0,890,True
12,ARUNACHAL PRADESH,26.00627547796006,Semi-Rural,17.0,Low Density,1383727.0,713912.0,669815.0,938,True
13,NAGALAND,29.926869056216887,Semi-Rural,119.3378370227396,Low Density,1978502.0,1024649.0,953853.0,931,True
14,MANIPUR,30.892931726475688,Semi-Rural,127.90764545169526,Low Density,2855794.0,1438586.0,1417208.0,985,True
15,MIZORAM,52.51937375758908,Moderately Urbanized,52.04715146340306,Low Density,1097206.0,555339.0,541867.0,976,True
16,TRIPURA,27.93201146389015,Semi-Rural,350.3640091550639,Medium Density,3673917.0,1874376.0,1799541.0,960,True
17,MEGHALAYA,21.436743124371645,Semi-Rural,132.27914753221276,Low Density,2966889.0,1491832.0,1475057.0,989,True
18,ASSAM,15.384351228624931,Predominantly Rural,397.837476733216,Medium Density,31205576.0,15939443.0,15266133.0,958,True
19,WEST BENGAL,32.22300538534365,Semi-Rural,1028.440091490896,Very High Density,91276115.0,46809027.0,44467088.0,950,True
20,JHARKHAND,24.387936204321143,Semi-Rural,413.8207386221085,Medium Density,32988134.0,16930315.0,16057819.0,948,True
21,ODISHA,16.059990744794987,Predominantly Rural,269.57181115813677,Medium Density,41974218.0,21212136.0,20762082.0,979,True
22,CHHATTISGARH,22.743209542706385,Semi-Rural,188.9549529557962,Low Density,25545198.0,12832895.0,12712303.0,991,True
23,MADHYA PRADESH,26.587887994479125,Semi-Rural,235.60855728429985,Medium Density,72626809.0,37612306.0,35014503.0,931,True
24,GUJARAT,44.69855233667537,Moderately Urbanized,307.98236888771123,Medium Density,60439692.0,31491260.0,28948432.0,919,True
25,DAMAN  DIU,79.09311634621695,Highly Urbanized,2191.4144144144143,Very High Density,243247.0,150301.0,92946.0,618,True
26,DADRA  NAGAR HAVELI,52.79238274608282,Moderately Urbanized,700.0183299389003,High Density,343709.0,193760.0,149949.0,774,True
27,MAHARASHTRA,45.88895965070805,Moderately Urbanized,365.1920230864474,Medium Density,112374333.0,58243056.0,54131277.0,929,True
28,ANDHRA PRADESH,32.2900348900906,Semi-Rural,307.5161409951099,Medium Density,84580777.0,42442146.0,42138631.0,993,True
29,KARNATAKA,40.505795189303726,Moderately Urbanized,319.0,Medium Density,61095297.0,30966657.0,30128640.0,973,True
30,GOA,62.688039672769506,Highly Urbanized,394.0,Medium Density,1458545.0,739140.0,719405.0,973,True
31,LAKSHADWEEP,76.58545014688094,Highly Urbanized,2149.0,Very High Density,64473.0,33123.0,31350.0,946,True
32,KERALA,47.16359845240887,Moderately Urbanized,860.0,High Density,33406061.0,16027412.0,17378649.0,1084,True
33,TAMIL NADU,48.56407957643359,Moderately Urbanized,555.0,High Density,72147030.0,36137975.0,36009055.0,996,True
34,PUDUCHERRY,68.58389816498594,Highly Urbanized,2547.0,Very High Density,1247953.0,612511.0,635442.0,1037,True
35,ANDAMAN  NICOBAR ISLANDS,38.096900085668054,Semi-Rural,46.0,Low Density,380581.0,202871.0,177710.0,876,True
